# _tick,_time,frames,mean_episode_return_0,loss_0,mean_episode_return_1,loss_1
0,1714865509.156457,0,-1.7978404760360718,1141.274658203125,0,0
1,1714865509.162254,3200,-1.7978404760360718,1141.274658203125,1.1624248027801514,971.3584594726562
2,1714865509.6525319,6400,-0.8752145171165466,6757.34130859375,1.1624248027801514,971.3584594726562
3,1714865509.9111521,9600,-0.8752145171165466,6757.34130859375,0.44388845562934875,6917.833984375
4,1714865510.258278,12800,-0.8712475299835205,7606.85205078125,0.44388845562934875,6917.833984375
5,1714865510.658249,16000,-0.8712475299835205,7606.85205078125,1.561127781867981,7254.1611328125
6,1714865510.912731,19200,-2.0835981369018555,7218.060546875,1.561127781867981,7254.1611328125
7,1714865511.274299,22400,-2.0835981369018555,7218.060546875,1.9797908067703247,3965.944580078125
8,1714865511.725274,25600,-1.9921188354492188,2871.047119140625,1.9797908067703247,3965.944580078125
9,1714865511.9213781,28800,-1.9921188354492188,2871.047119140625,2.4032680988311768,4622.759765625
10,1714865512.4896462,32000,-1.8399206399917603,7608.8662109375,2.4032680988311768,4622.759765625
11,1714865512.5198798,35200,-1.8399206399917603,7608.8662109375,1.9446552991867065,8763.66015625
12,1714865513.119489,38400,-1.8399206399917603,7608.8662109375,1.8189401626586914,9552.98828125
13,1714865513.292896,41600,-1.857737421989441,9517.2841796875,1.8189401626586914,9552.98828125
14,1714865513.74733,44800,-1.857737421989441,9517.2841796875,1.6514289379119873,9538.16796875
15,1714865514.0736609,48000,-1.574649691581726,9516.9638671875,1.6514289379119873,9538.16796875
16,1714865514.448174,51200,-1.574649691581726,9516.9638671875,1.5823854207992554,9555.2802734375
17,1714865514.855649,54400,-1.4834883213043213,9484.2265625,1.5823854207992554,9555.2802734375
18,1714865514.9490108,57600,-1.4834883213043213,9484.2265625,1.4231891632080078,9504.4189453125
19,1714865515.5154612,60800,-1.4834883213043213,9484.2265625,1.1885308027267456,9640.9296875
20,1714865515.686176,64000,-1.1871356964111328,9587.755859375,1.1885308027267456,9640.9296875
21,1714865516.140552,67200,-1.1871356964111328,9587.755859375,0.9674565196037292,9571.083984375
22,1714865516.4820669,70400,-1.0038275718688965,9507.3369140625,0.9674565196037292,9571.083984375
23,1714865516.766187,73600,-1.0038275718688965,9507.3369140625,0.6814900040626526,9497.3349609375
24,1714865517.277388,76800,-0.7694041728973389,9512.2373046875,0.6814900040626526,9497.3349609375
25,1714865517.414644,80000,-0.7694041728973389,9512.2373046875,0.6652187705039978,9520.158203125
26,1714865517.952349,83200,-0.7694041728973389,9512.2373046875,0.5949307084083557,9497.0029296875
27,1714865518.106036,86400,-0.6739165186882019,9506.2529296875,0.5949307084083557,9497.0029296875
28,1714865518.586675,89600,-0.6739165186882019,9506.2529296875,0.3933029770851135,9513.01171875
29,1714865518.874105,92800,-0.4861478805541992,9468.7666015625,0.3933029770851135,9513.01171875
30,1714865519.1608078,96000,-0.4861478805541992,9468.7666015625,0.5531138777732849,9472.8818359375
31,1714865519.642983,99200,-0.8169679045677185,9512.666015625,0.5531138777732849,9472.8818359375
32,1714865519.7726111,102400,-0.8169679045677185,9512.666015625,0.6530053615570068,9533.4794921875
33,1714865520.418367,105600,-0.9181393980979919,9501.7421875,0.6530053615570068,9533.4794921875
34,1714865520.4354188,108800,-0.9181393980979919,9501.7421875,0.8026136755943298,9538.43359375
35,1714865521.108456,112000,-0.9181393980979919,9501.7421875,0.8277708292007446,9549.21484375
36,1714865521.224076,115200,-0.8969895243644714,9499.4208984375,0.8277708292007446,9549.21484375
37,1714865521.702989,118400,-0.8969895243644714,9499.4208984375,0.8406012654304504,9543.0185546875
38,1714865522.1040452,121600,-0.8832338452339172,9496.337890625,0.8406012654304504,9543.0185546875
39,1714865522.288981,124800,-0.8832338452339172,9496.337890625,0.799940824508667,9475.015625
40,1714865522.835655,128000,-0.8005688786506653,8722.6220703125,0.799940824508667,9475.015625
41,1714865522.843562,131200,-0.8005688786506653,8722.6220703125,0.6807999610900879,8455.1533203125
42,1714865523.379116,134400,-0.8005688786506653,8722.6220703125,0.6617068648338318,2519.59521484375
43,1714865523.5892138,137600,-0.7448328733444214,3042.37255859375,0.6617068648338318,2519.59521484375
44,1714865524.051199,140800,-0.7448328733444214,3042.37255859375,0.6479557156562805,8329.0224609375
45,1714865524.399779,144000,-0.7026862502098083,9438.9716796875,0.6479557156562805,8329.0224609375
46,1714865524.669491,147200,-0.7026862502098083,9438.9716796875,0.7857598066329956,9523.9765625
47,1714865525.145279,150400,-0.8086642622947693,5826.98681640625,0.7857598066329956,9523.9765625
48,1714865525.295876,153600,-0.8086642622947693,5826.98681640625,0.7041252255439758,3780.20556640625
49,1714865525.858861,156800,-0.8086642622947693,5826.98681640625,0.6048547625541687,679.3712768554688
50,1714865525.950048,160000,-0.6865483522415161,664.3515625,0.6048547625541687,679.3712768554688
51,1714865526.480006,163200,-0.6865483522415161,664.3515625,0.55333411693573,7457.98486328125
52,1714865526.782593,166400,-0.6591730713844299,8684.3359375,0.55333411693573,7457.98486328125
53,1714865527.0839229,169600,-0.6591730713844299,8684.3359375,0.5385903120040894,9542.9853515625
54,1714865527.527288,172800,-0.6729192137718201,9512.1767578125,0.5385903120040894,9542.9853515625
55,1714865527.754018,176000,-0.6729192137718201,9512.1767578125,0.5261567234992981,9586.2353515625
56,1714865528.324905,179200,-0.6517652869224548,9472.86328125,0.5261567234992981,9586.2353515625
57,1714865528.3458939,182400,-0.6517652869224548,9472.86328125,0.5774783492088318,9546.62890625
58,1714865528.9459898,185600,-0.6517652869224548,9472.86328125,0.5119564533233643,9527.8212890625
59,1714865529.092285,188800,-0.5878728032112122,9436.7529296875,0.5119564533233643,9527.8212890625
60,1714865529.571559,192000,-0.5878728032112122,9436.7529296875,0.49896201491355896,9555.9345703125
61,1714865529.913341,195200,-0.5827891230583191,9377.7490234375,0.49896201491355896,9555.9345703125
62,1714865530.129282,198400,-0.5827891230583191,9377.7490234375,0.5558475255966187,9558.0966796875
63,1714865530.7131321,201600,-0.6463780403137207,9272.7626953125,0.5558475255966187,9558.0966796875
64,1714865530.780767,204800,-0.6463780403137207,9272.7626953125,0.5732743740081787,9401.33984375
65,1714865531.44259,208000,-0.6463780403137207,9272.7626953125,0.5716398358345032,9444.54296875
66,1714865531.53313,211200,-0.6084229946136475,8976.1962890625,0.5716398358345032,9444.54296875
67,1714865532.172645,214400,-0.6084229946136475,8976.1962890625,0.4784536361694336,9437.41796875
68,1714865532.4745731,217600,-0.5393360257148743,9156.2216796875,0.4784536361694336,9437.41796875
69,1714865532.79681,220800,-0.5393360257148743,9156.2216796875,0.48699653148651123,9507.384765625
70,1714865533.1489122,224000,-0.5464810132980347,9080.99609375,0.48699653148651123,9507.384765625
71,1714865533.3959968,227200,-0.5464810132980347,9080.99609375,0.44773659110069275,9565.7001953125
72,1714865533.9596958,230400,-0.46765199303627014,8295.00390625,0.44773659110069275,9565.7001953125
73,1714865533.9981282,233600,-0.46765199303627014,8295.00390625,0.3986072540283203,9151.6162109375
74,1714865534.679508,236800,-0.46765199303627014,8295.00390625,0.3641532063484192,9350.96484375
75,1714865534.79832,240000,-0.43766751885414124,8370.52734375,0.3641532063484192,9350.96484375
76,1714865535.3746262,243200,-0.43766751885414124,8370.52734375,0.2755400836467743,8879.59375
77,1714865535.507338,246400,-0.3529028296470642,7455.99609375,0.2755400836467743,8879.59375
78,1714865536.091289,249600,-0.3529028296470642,7455.99609375,0.2594437301158905,9032.853515625
79,1714865536.260374,252800,-0.3348277807235718,7495.00634765625,0.2594437301158905,9032.853515625
80,1714865536.8425002,256000,-0.2560936212539673,6051.34521484375,0.2594437301158905,9032.853515625
81,1714865536.843657,259200,-0.2560936212539673,6051.34521484375,0.170930415391922,8655.3115234375
82,1714865537.449155,262400,-0.1464129090309143,5189.970703125,0.170930415391922,8655.3115234375
83,1714865537.5375738,265600,-0.1464129090309143,5189.970703125,0.06379026174545288,7685.86328125
84,1714865538.067434,268800,-0.050812557339668274,4100.33740234375,0.06379026174545288,7685.86328125
85,1714865538.3145442,272000,-0.050812557339668274,4100.33740234375,-0.062072206288576126,6953.103515625
86,1714865538.770485,275200,0.10074856132268906,4555.8212890625,-0.062072206288576126,6953.103515625
87,1714865539.178089,278400,0.10074856132268906,4555.8212890625,-0.31501343846321106,8179.09619140625
88,1714865539.410709,281600,0.21124736964702606,6133.4306640625,-0.31501343846321106,8179.09619140625
89,1714865539.833558,284800,0.21124736964702606,6133.4306640625,-0.37604042887687683,8376.5087890625
90,1714865540.135503,288000,0.300158828496933,6170.27880859375,-0.37604042887687683,8376.5087890625
91,1714865540.618381,291200,0.300158828496933,6170.27880859375,-0.5028566122055054,8414.0546875
92,1714865540.733957,294400,0.35335874557495117,6083.30322265625,-0.5028566122055054,8414.0546875
93,1714865541.364539,297600,0.39639273285865784,5015.2119140625,-0.5028566122055054,8414.0546875
94,1714865541.444872,300800,0.39639273285865784,5015.2119140625,-0.5215312838554382,7868.23486328125
95,1714865542.00212,304000,0.5302877426147461,3953.491943359375,-0.5215312838554382,7868.23486328125
96,1714865542.2413719,307200,0.5302877426147461,3953.491943359375,-0.7259286642074585,7205.5556640625
97,1714865542.646778,310400,0.6696493029594421,5466.298828125,-0.7259286642074585,7205.5556640625
98,1714865543.078378,313600,0.6696493029594421,5466.298828125,-0.8865559697151184,8377.56640625
99,1714865543.400022,316800,0.7886177897453308,7455.064453125,-0.8865559697151184,8377.56640625
100,1714865543.809081,320000,0.7886177897453308,7455.064453125,-0.9893055558204651,8813.673828125
101,1714865544.1376529,323200,0.8021312355995178,7317.48388671875,-0.9893055558204651,8813.673828125
102,1714865544.410739,326400,0.8021312355995178,7317.48388671875,-0.9768702983856201,8493.85546875
103,1714865544.755027,329600,0.9082422852516174,5805.11328125,-0.9768702983856201,8493.85546875
104,1714865545.089022,332800,0.9082422852516174,5805.11328125,-1.1332294940948486,7800.8525390625
105,1714865545.468603,336000,0.9772023558616638,6149.90673828125,-1.1332294940948486,7800.8525390625
106,1714865545.855125,339200,0.9772023558616638,6149.90673828125,-1.2200901508331299,8540.517578125
107,1714865546.191946,342400,1.061097502708435,6726.54541015625,-1.2200901508331299,8540.517578125
108,1714865546.525386,345600,1.061097502708435,6726.54541015625,-1.304012417793274,8055.388671875
