episode,reward
0,0.4405
100,0.107
200,0.52725
300,0.52675
400,1.04025
500,1.08575
600,1.164
700,1.17
800,1.17125
900,1.25725
1000,1.10425
1100,1.15375
1200,1.062
1300,0.90075
1400,0.96325
1500,0.936
1600,0.94875
1700,1.054
1800,1.077
1900,1.1585
2000,1.14
2100,1.05225
2200,0.952
2300,1.017
2400,1.03075
2500,0.96025
2600,0.98375
2700,0.993
2800,1.0245
2900,0.996
3000,0.94925
3100,1.04625
3200,0.994
3300,0.9505
3400,1.0275
3500,1.02075
3600,0.9265
3700,1.055
3800,1.0505
3900,0.97075
4000,1.02125
4100,1.00775
4200,0.8485
4300,1.04625
4400,0.94475
4500,1.0255
4600,1.045
4700,1.07125
4800,1.06575
4900,0.984
5000,1.0015
5100,1.06125
5200,1.09325
5300,1.07875
5400,1.07375
5500,1.1725
5600,1.01275
5700,1.03025
5800,1.01925
5900,0.96925
6000,1.02625
6100,1.028
6200,0.97975
6300,1.1165
6400,0.9695
6500,1.03125
6600,1.043
6700,1.007
6800,1.01125
6900,1.102
7000,1.183
7100,1.0895
7200,1.0375
7300,1.02125
7400,1.0415
7500,1.1495
7600,1.20175
7700,1.0615
7800,1.19525
7900,1.00775
8000,1.11625
8100,1.15775
8200,1.14375
8300,1.169
8400,1.1195
8500,1.267
8600,1.221
8700,1.1585
8800,1.108
8900,1.25125
9000,1.34625
9100,1.19375
9200,1.22525
9300,1.247
9400,1.08175
9500,1.15125
9600,1.17325
9700,1.2855
9800,1.28175
9900,1.29625
