episode,reward
0,0.105
100,0.011
200,0.11525
300,0.08975
400,0.0795
500,0.11575
600,0.091
700,0.1065
800,0.13725
900,0.11025
1000,0.138
1100,0.03025
1200,0.01225
1300,0.087
1400,0.1215
1500,0.0655
1600,0.03975
1700,0.08575
1800,0.10675
1900,0.103
2000,0.719
2100,0.834
2200,0.85
2300,0.7905
2400,0.751
2500,0.7615
2600,0.759
2700,0.83975
2800,0.93475
2900,0.753
3000,0.79025
3100,0.86475
3200,0.7295
3300,0.8825
3400,0.77625
3500,0.82925
3600,0.7635
3700,0.7545
3800,0.845
3900,0.82
4000,0.7585
4100,0.73
4200,0.8035
4300,0.75575
4400,0.6855
4500,0.756
4600,0.7735
4700,0.73625
4800,0.78775
4900,0.807
5000,0.78925
5100,0.82225
5200,0.76375
5300,0.82875
5400,0.88
5500,0.83175
5600,0.7795
5700,0.796
5800,0.68825
5900,0.6175
6000,0.66175
6100,0.79125
6200,0.70525
6300,0.7655
6400,0.812
6500,0.71125
6600,0.734
6700,0.67375
6800,0.80825
6900,0.72725
7000,0.73475
7100,0.68425
7200,0.60275
7300,0.63775
7400,0.66725
7500,0.7205
7600,0.80225
7700,0.71575
7800,0.82675
7900,0.71
8000,0.7895
8100,0.8325
8200,0.74575
8300,0.67175
8400,0.71125
8500,0.78175
8600,0.8465
8700,0.7985
8800,0.66625
8900,0.719
9000,0.74725
9100,0.67775
9200,0.78325
9300,0.754
9400,0.72075
9500,0.708
9600,0.64825
9700,0.74125
9800,0.739
9900,0.8205
