episode,reward
0,0.6915
100,0.69975
200,0.6905
300,0.68675
400,0.77
500,0.75975
600,0.7035
700,0.70325
800,0.71225
900,0.63
1000,0.694
1100,0.73525
1200,0.7965
1300,0.706
1400,0.75025
1500,0.7165
1600,0.68175
1700,0.62975
1800,0.726
1900,0.7375
2000,0.718
2100,0.79875
2200,0.74125
2300,0.8365
2400,0.6845
2500,0.6785
2600,0.7045
2700,0.60675
2800,0.6775
2900,0.71825
3000,0.751
3100,0.71225
3200,0.80975
3300,0.6465
3400,0.74075
3500,0.75925
3600,0.707
3700,0.75275
3800,0.692
3900,0.6575
4000,0.70575
4100,0.6545
4200,0.671
4300,0.711
4400,0.6965
4500,0.7035
4600,0.591
4700,0.6335
4800,0.69975
4900,0.669
5000,0.683
5100,0.66925
5200,0.60975
5300,0.64975
5400,0.715
5500,0.627
5600,0.68975
5700,0.68225
5800,0.662
5900,0.6645
6000,0.75275
6100,0.7005
6200,0.67075
6300,0.71625
6400,0.6855
6500,0.6505
6600,0.66025
6700,0.8155
6800,0.72275
6900,0.70625
7000,0.5995
7100,0.773
7200,0.75225
7300,0.797
7400,0.73825
7500,0.7395
7600,0.69925
7700,0.759
7800,0.756
7900,0.7505
8000,0.78575
8100,0.67075
8200,0.68925
8300,0.71625
8400,0.7015
8500,0.68375
8600,0.76525
8700,0.71475
8800,0.71975
8900,0.83025
9000,0.73725
9100,0.7135
9200,0.67025
9300,0.65125
9400,0.71125
9500,0.759
9600,0.85275
9700,0.74525
9800,0.725
9900,0.73
