episode,reward
0,0.6915
100,0.69975
200,0.6905
300,0.68675
400,0.77
500,0.75975
600,0.7035
700,0.70325
800,0.71225
900,0.63
1000,0.694
1100,0.73525
1200,0.7965
1300,0.706
1400,0.75025
1500,0.7165
1600,0.68175
1700,0.62975
1800,0.726
1900,0.7375
2000,0.718
2100,0.79875
2200,0.74125
2300,0.8365
2400,0.6845
2500,0.6785
2600,0.7045
2700,0.60675
2800,0.6775
2900,0.71825
3000,0.751
3100,0.71225
3200,0.80975
3300,0.6465
3400,0.74075
3500,0.75925
3600,0.707
3700,0.75275
3800,0.692
3900,0.6575
4000,0.70575
4100,0.6545
4200,0.671
4300,0.711
4400,0.6965
4500,0.7035
4600,0.591
4700,0.6335
4800,0.69975
4900,0.669
