episode,reward
0,-0.06445
100,-0.0495
200,-0.03935
300,-0.0455
400,-0.0596
500,-0.0557
600,-0.0402
700,-0.03435
800,-0.0244
900,-0.03185
1000,-0.0498
1100,-0.0456
1200,-0.03245
1300,-0.06355
1400,-0.05485
1500,-0.06385
1600,-0.06885
1700,-0.06245
1800,-0.0648
1900,0.61645
2000,0.6041
2100,0.63785
2200,0.59915
2300,0.62645
2400,0.61105
2500,0.5827
2600,0.5164
2700,0.5157
2800,0.5528
2900,0.58745
3000,0.5465
3100,0.5018
3200,0.50885
3300,0.47475
3400,0.47935
3500,0.4476
3600,0.46845
3700,0.5284
3800,0.52165
3900,0.5197
4000,0.51525
4100,0.5584
4200,0.49795
4300,0.54625
4400,0.47085
4500,0.49825
4600,0.5422
4700,0.5584
4800,0.52785
4900,0.5593
