episode,reward
0,-0.46925
100,-0.20275
200,-0.01525
300,0.125
400,0.45675
500,0.70325
600,0.72775
700,1.17575
800,1.422
900,1.5855
1000,1.702
1100,1.685
1200,2.066
1300,1.9045
1400,2.1485
1500,2.0055
1600,2.13
1700,2.085
1800,2.03925
1900,2.18225
2000,2.02475
2100,2.2015
2200,2.13675
2300,2.098
2400,2.20275
2500,1.91325
2600,2.03525
2700,2.10775
2800,2.2285
2900,2.124
3000,2.201
3100,2.07475
3200,2.3025
3300,2.014
3400,2.1465
3500,2.1915
3600,2.151
3700,2.21775
3800,2.25275
3900,2.18525
4000,2.252
4100,2.2515
4200,2.37875
4300,2.28975
4400,2.14875
4500,2.35775
4600,2.223
4700,2.223
4800,2.253
4900,2.244
