episode,reward
0,0.393
100,0.396
200,0.25125
300,0.257
400,0.25525
500,0.441
600,0.13525
700,0.2335
800,0.2695
900,0.2435
1000,0.43375
1100,0.31625
1200,0.74825
1300,1.0745
1400,1.49675
1500,1.2765
1600,1.52725
1700,1.45725
1800,1.37025
1900,1.53125
2000,1.48625
2100,1.93875
2200,1.67875
2300,1.698
2400,1.7515
2500,1.7385
2600,1.86375
2700,1.841
2800,1.79825
2900,1.9825
3000,1.83125
3100,1.671
3200,1.921
3300,1.62475
3400,1.611
3500,1.43225
3600,1.8695
3700,1.63325
3800,1.64425
3900,1.59175
4000,1.7475
4100,1.753
4200,1.60925
4300,1.70025
4400,1.9195
4500,1.6215
4600,1.517
4700,1.53925
4800,1.39375
4900,1.4265
5000,1.395
5100,1.4305
5200,1.56425
5300,1.491
5400,1.3205
5500,1.3465
5600,1.41275
5700,1.60275
5800,1.66475
5900,1.4955
6000,1.32925
6100,1.535
6200,1.6355
6300,1.56275
6400,1.611
6500,1.448
6600,1.4685
6700,1.603
6800,1.7165
6900,1.5865
7000,1.66275
7100,1.65225
7200,1.4815
7300,1.45125
7400,1.58175
7500,1.63625
7600,1.69775
7700,1.6255
7800,1.83625
7900,1.80175
8000,1.73675
8100,1.76125
8200,1.63925
8300,1.701
8400,1.72525
8500,1.613
8600,1.9315
8700,1.84475
8800,1.78825
8900,1.79475
9000,1.7405
9100,1.75425
9200,1.635
9300,1.84825
9400,1.73175
9500,1.681
9600,1.75775
9700,1.678
9800,1.59675
9900,1.64975
