episode,reward
0,-1.8885
100,-1.069
200,0.238
300,-0.603
400,-1.0675
500,-0.9235
600,-1.71
700,-1.6
800,-2.745
900,-0.185
1000,-0.8215
1100,-0.3175
1200,-1.2715
1300,-0.9085
1400,-0.464
1500,-2.377
1600,0.8175
1700,-1.3715
1800,-1.151
1900,-0.6275
2000,1.692
2100,2.0925
2200,-0.446
2300,-0.5255
2400,2.387
2500,2.485
2600,-0.9075
2700,-0.6515
2800,-2.1245
2900,3.129
3000,2.237
3100,-0.6975
3200,0.6575
3300,2.6475
3400,-2.875
3500,0.373
3600,1.6755
3700,1.116
3800,2.161
3900,-0.7115
4000,3.363
4100,3.257
4200,0.8515
4300,0.432
4400,3.029
4500,2.774
4600,-0.4345
4700,0.6915
4800,0.261
4900,1.656
